year	month	day	DateTime	AreaTypeCode	AreaName	MapCode	TotalLoadValue	SubmissionTS
2017	2	3	2017-02-03 12:00:00.000	BZN	NO5 BZ	NO5	2165.250000	2017-02-06 21:51:09.000
2017	2	12	2017-02-12 07:00:00.000	BZN	Ireland - (SEM) BZ	IE_SEM	2612.260000	2017-02-12 08:19:32.000
2017	2	24	2017-02-24 19:00:00.000	BZN	swissgrid BZ	CH	7997.440000	2017-03-17 11:42:11.000
2017	2	3	2017-02-03 00:00:00.000	BZN	NO5 BZ	NO5	1898.950000	2017-02-06 21:51:09.000
2017	2	5	2017-02-05 06:00:00.000	BZN	swissgrid BZ	CH	6836.180000	2017-02-26 11:42:08.000
2017	2	20	2017-02-20 00:15:00.000	BZN	TenneT NL BZ	NL	10229.000000	2017-03-13 11:59:06.000
2017	2	10	2017-02-10 04:00:00.000	BZN	HOPS BZ	HR	1750.000000	2017-02-14 10:04:27.000
2017	2	23	2017-02-23 05:00:00.000	BZN	Litgrid BZ	LT	1394.000000	2017-02-23 06:11:27.000
2017	2	23	2017-02-23 14:00:00.000	BZN	Litgrid BZ	LT	1483.000000	2017-02-23 15:12:15.000
2017	2	7	2017-02-07 00:00:00.000	BZN	MEPSO BZ	MK	891.000000	2017-02-08 14:09:56.000
2017	2	7	2017-02-07 14:00:00.000	BZN	MEPSO BZ	MK	959.000000	2017-02-08 14:09:56.000
2017	2	5	2017-02-05 13:00:00.000	BZN	NO2 BZ	NO2	4799.570000	2017-02-08 21:51:32.000
2017	2	11	2017-02-11 02:00:00.000	BZN	National Grid BZ	GB	30234.000000	2017-02-11 02:41:17.000
2017	2	15	2017-02-15 08:00:00.000	BZN	IPTO BZ	GR	7430.000000	2017-02-15 09:37:17.000
2017	2	24	2017-02-24 11:00:00.000	BZN	NO2 BZ	NO2	5027.910000	2017-02-27 21:51:50.000
2017	2	6	2017-02-06 13:30:00.000	BZN	TenneT NL BZ	NL	16758.000000	2017-02-27 11:23:42.000
2017	2	26	2017-02-26 12:00:00.000	CTA	CEPS CA	CZ	7720.530000	2017-02-26 13:05:44.000
2017	2	26	2017-02-26 11:00:00.000	CTA	IPTO CA	GR	6171.000000	2017-02-26 12:36:47.000
2017	2	25	2017-02-25 04:00:00.000	CTA	AST CA	LV	720.000000	2017-02-25 05:01:08.000
2017	2	19	2017-02-19 14:00:00.000	BZN	HOPS BZ	HR	1799.000000	2017-02-23 10:04:26.000
2017	2	9	2017-02-09 16:00:00.000	BZN	DK1  BZ	DK1	3159.960000	2017-02-09 17:46:10.000
2017	2	2	2017-02-02 06:00:00.000	BZN	Cyprus TSO BZ	CY	619.440000	2017-02-02 06:40:13.000
2017	2	8	2017-02-08 08:30:00.000	BZN	TenneT NL BZ	NL	17453.000000	2017-02-27 11:52:55.000
2017	2	8	2017-02-08 16:00:00.000	BZN	DK1  BZ	DK1	3015.840000	2017-02-08 17:46:09.000
2017	2	8	2017-02-08 04:30:00.000	BZN	Cyprus TSO BZ	CY	462.660000	2017-02-08 05:10:22.000
2017	2	8	2017-02-08 07:00:00.000	BZN	Cyprus TSO BZ	CY	536.470000	2017-02-08 07:40:22.000
2017	2	7	2017-02-07 13:00:00.000	BZN	DK1  BZ	DK1	2829.390000	2017-02-07 14:46:10.000
2017	2	27	2017-02-27 18:00:00.000	BZN	IPTO BZ	GR	6412.000000	2017-02-27 19:36:56.000
2017	2	19	2017-02-19 01:00:00.000	CTA	REN CA	PT	4733.100000	2017-10-21 07:40:17.000
2017	2	2	2017-02-02 00:00:00.000	CTA	TenneT NL CA	NL	11325.000000	2017-02-20 13:57:15.000
2017	2	6	2017-02-06 22:00:00.000	CTA	REE CA	ES	29242.000000	2017-02-06 23:15:27.000
2017	2	2	2017-02-02 05:00:00.000	CTY	Greece	GR	6843.000000	2017-02-02 06:35:58.000
2017	2	1	2017-02-01 15:00:00.000	CTY	France	FR	64818.000000	2017-02-01 16:34:20.000
2017	2	18	2017-02-18 12:00:00.000	CTY	Belgium	BE	10519.510000	2017-04-19 09:45:26.000
2017	2	18	2017-02-18 16:45:00.000	CTY	Belgium	BE	10410.730000	2017-04-19 09:45:26.000
2017	2	12	2017-02-12 00:00:00.000	CTY	Greece	GR	4959.000000	2017-02-12 01:36:20.000
2017	2	7	2017-02-07 08:00:00.000	BZN	REN BZ	PT	6642.400000	2017-10-21 07:41:48.000
2017	2	8	2017-02-08 01:00:00.000	BZN	REN BZ	PT	5157.500000	2017-10-21 07:41:44.000
2017	2	14	2017-02-14 23:00:00.000	BZN	NO3 BZ	NO3	3208.870000	2017-02-17 21:51:08.000
2017	2	15	2017-02-15 07:00:00.000	BZN	NO3 BZ	NO3	3720.420000	2017-02-17 21:51:08.000
2017	2	15	2017-02-15 04:15:00.000	CTA	APG CA	AT	7360.400000	2017-05-11 07:54:30.000
2017	2	15	2017-02-15 15:00:00.000	CTA	APG CA	AT	8886.000000	2017-05-11 07:54:30.000
2017	2	16	2017-02-16 15:00:00.000	CTA	APG CA	AT	8905.600000	2017-05-11 07:54:30.000
2017	2	16	2017-02-16 04:30:00.000	CTA	APG CA	AT	7516.800000	2017-05-11 07:54:30.000
2017	2	16	2017-02-16 09:45:00.000	CTA	APG CA	AT	9467.200000	2017-05-11 07:54:30.000
2017	2	16	2017-02-16 14:30:00.000	CTA	APG CA	AT	8908.000000	2017-05-11 07:54:30.000
2017	2	28	2017-02-28 02:30:00.000	CTA	APG CA	AT	6310.000000	2017-05-11 07:54:32.000
2017	2	28	2017-02-28 03:00:00.000	CTA	APG CA	AT	6352.000000	2017-05-11 07:54:32.000
2017	2	1	2017-02-01 04:45:00.000	BZN	TenneT NL BZ	NL	11785.000000	2017-02-20 13:56:22.000
2017	2	2	2017-02-02 00:30:00.000	BZN	TenneT NL BZ	NL	11103.000000	2017-02-20 14:01:56.000
2017	2	2	2017-02-02 05:00:00.000	BZN	TenneT NL BZ	NL	12095.000000	2017-02-20 14:01:56.000
2017	2	16	2017-02-16 05:00:00.000	CTA	Elia CA	BE	10320.950000	2017-04-17 09:45:14.000
2017	2	6	2017-02-06 00:00:00.000	CTA	IPTO CA	GR	4494.000000	2017-02-06 10:37:51.000
2017	2	22	2017-02-22 03:00:00.000	BZN	Ireland - (SEM) BZ	IE_SEM	2589.390000	2017-02-22 04:19:16.000
2017	2	8	2017-02-08 10:30:00.000	CTA	TenneT NL CA	NL	17678.000000	2017-02-27 11:53:06.000
2017	2	20	2017-02-20 21:00:00.000	CTA	IPTO CA	GR	6011.000000	2017-02-20 22:36:28.000
2017	2	7	2017-02-07 10:00:00.000	CTA	REE CA	ES	34406.000000	2017-02-07 11:15:32.000
2017	2	17	2017-02-17 11:00:00.000	CTA	TenneT GER CA	DE_TenneT_GER	23119.430000	2017-02-19 00:04:49.000
2017	2	17	2017-02-17 02:45:00.000	CTA	TenneT GER CA	DE_TenneT_GER	15718.600000	2017-02-19 00:04:49.000
2017	2	17	2017-02-17 00:15:00.000	CTA	TenneT GER CA	DE_TenneT_GER	16083.510000	2017-02-19 00:04:49.000
2017	2	17	2017-02-17 03:15:00.000	CTA	TenneT GER CA	DE_TenneT_GER	15885.880000	2017-02-19 00:04:49.000
2017	2	26	2017-02-26 08:15:00.000	CTA	TransnetBW CA	DE_TransnetBW	5674.180000	2017-02-26 23:06:08.000
2017	2	26	2017-02-26 19:00:00.000	CTA	TransnetBW CA	DE_TransnetBW	6255.810000	2017-02-26 23:06:08.000
2017	2	7	2017-02-07 14:00:00.000	CTY	Slovenia	SI	1744.080000	2017-02-07 15:42:43.000
2017	2	2	2017-02-02 14:00:00.000	CTY	Slovakia	SK	4207.000000	2017-02-02 15:10:07.000
2017	2	8	2017-02-08 08:00:00.000	CTY	Sweden	SE	23954.000000	2017-02-08 23:31:19.000
2017	2	8	2017-02-08 11:00:00.000	CTY	Sweden	SE	23344.000000	2017-02-08 23:31:19.000
2017	2	25	2017-02-25 08:00:00.000	CTY	Slovenia	SI	1628.970000	2017-02-25 09:43:24.000
2017	2	25	2017-02-25 02:00:00.000	CTY	Slovenia	SI	1218.210000	2017-02-25 03:44:50.000
2017	2	24	2017-02-24 21:30:00.000	CTY	United Kingdom	GB	39130.000000	2017-02-24 22:16:40.000
2017	2	23	2017-02-23 02:00:00.000	CTY	Slovenia	SI	1272.150000	2017-02-23 03:42:50.000
2017	2	23	2017-02-23 19:00:00.000	CTY	United Kingdom	GB	48465.000000	2017-02-23 20:10:27.000
2017	2	3	2017-02-03 04:00:00.000	BZN	ESO BZ	BG	5489.000000	2017-05-05 11:07:15.000
2017	2	7	2017-02-07 10:00:00.000	BZN	IT-Centre-South BZ	IT_CSUD	6677.000000	2017-02-08 06:00:52.000
2017	2	7	2017-02-07 19:00:00.000	BZN	IT-Sardinia BZ	IT_SARD	1209.000000	2017-02-08 06:00:52.000
2017	2	1	2017-02-01 07:00:00.000	BZN	DK1  BZ	DK1	3014.970000	2017-02-01 08:46:09.000
2017	2	23	2017-02-23 23:00:00.000	BZN	Cyprus TSO BZ	CY	397.430000	2017-02-23 23:40:46.000
2017	2	23	2017-02-23 20:00:00.000	BZN	DK1  BZ	DK1	2340.930000	2017-02-23 21:46:09.000
2017	2	26	2017-02-26 23:15:00.000	BZN	Elia BZ	BE	9232.700000	2017-04-28 09:45:17.000
2017	2	27	2017-02-27 05:00:00.000	BZN	Elia BZ	BE	9642.160000	2017-04-28 09:45:17.000
2017	2	6	2017-02-06 11:00:00.000	BZN	ESO BZ	BG	5628.000000	2017-05-05 11:06:41.000
2017	2	16	2017-02-16 22:00:00.000	BZN	SEPS BZ	SK	3522.000000	2017-02-16 23:10:17.000
2017	2	2	2017-02-02 20:00:00.000	BZN	IT-Sardinia BZ	IT_SARD	1091.000000	2017-02-03 06:00:52.000
2017	2	15	2017-02-15 21:00:00.000	BZN	IT-Sardinia BZ	IT_SARD	1008.000000	2017-02-16 06:01:14.000
2017	2	15	2017-02-15 18:00:00.000	BZN	IT-Sardinia BZ	IT_SARD	1201.000000	2017-02-16 06:01:14.000
2017	2	16	2017-02-16 11:00:00.000	CTA	Cyprus TSO CA	CY	638.520000	2017-02-16 11:40:32.000
2017	2	2	2017-02-02 23:30:00.000	CTA	Cyprus TSO CA	CY	469.240000	2017-02-03 00:10:13.000
2017	2	3	2017-02-03 11:00:00.000	CTA	SONI CA	NIE	1228.000000	2017-02-03 12:16:28.000
2017	2	19	2017-02-19 06:45:00.000	CTA	TenneT GER CA	DE_TenneT_GER	15005.690000	2017-02-21 00:05:40.000
2017	2	13	2017-02-13 07:00:00.000	CTY	Lithuania	LT	1792.000000	2017-02-13 08:11:12.000
2017	2	20	2017-02-20 01:00:00.000	CTY	Lithuania	LT	858.000000	2017-02-20 02:11:13.000
